model,cv_acc_mean,cv_acc_std,train_acc_mean,cv_f1_mean,cv_f1_std,train_f1_mean,cv_recall_mean,cv_recall_std,train_recall_mean,cv_precision_mean,cv_precision_std,train_precision_mean,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_TP,val_FP,val_FN,val_TN,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_TP,test_FP,test_FN,test_TN
A_word_lr,0.9857,0.0034,0.9968,0.9424,0.0137,0.9873,0.9375,0.0174,0.9927,0.9475,0.0144,0.9820,0.9829,0.9385,0.9242,0.9313,0.9891,61,4,5,457,0.9780,0.8911,0.9375,0.9137,0.9962,90,11,6,667
B_word_svm,0.9868,0.0044,0.9996,0.9456,0.0184,0.9984,0.9250,0.0250,0.9979,0.9674,0.0175,0.9990,0.9848,0.9531,0.9242,0.9385,0.9924,61,3,5,458,0.9871,0.9479,0.9479,0.9479,0.9945,91,5,5,673
C_char_svm,0.9894,0.0022,0.9998,0.9559,0.0096,0.9992,0.9271,0.0198,1.0000,0.9868,0.0082,0.9984,0.9924,1.0000,0.9394,0.9688,0.9972,62,0,4,461,0.9871,0.9574,0.9375,0.9474,0.9936,90,4,6,674
B_word_svm_C2,0.9865,0.0042,0.9997,0.9442,0.0176,0.9990,0.9187,0.0283,0.9979,0.9718,0.0193,1.0000,0.9848,0.9531,0.9242,0.9385,0.9919,61,3,5,458,0.9871,0.9574,0.9375,0.9474,0.9919,90,4,6,674
B_word_svm_tri,0.9870,0.0049,0.9997,0.9467,0.0204,0.9990,0.9271,0.0287,0.9979,0.9675,0.0175,1.0000,0.9848,0.9531,0.9242,0.9385,0.9924,61,3,5,458,0.9871,0.9479,0.9479,0.9479,0.9951,91,5,5,673
B_word_svm_C05,0.9870,0.0037,0.9995,0.9468,0.0152,0.9979,0.9271,0.0208,0.9979,0.9676,0.0172,0.9979,0.9848,0.9531,0.9242,0.9385,0.9924,61,3,5,458,0.9858,0.9381,0.9479,0.9430,0.9957,91,6,5,672
B_word_svm_C03,0.9876,0.0033,0.9995,0.9489,0.0136,0.9979,0.9292,0.0179,0.9979,0.9699,0.0190,0.9979,0.9829,0.9385,0.9242,0.9313,0.9920,61,4,5,457,0.9845,0.9286,0.9479,0.9381,0.9964,91,7,5,671
C_char_svm_C05,0.9894,0.0022,0.9994,0.9559,0.0096,0.9977,0.9271,0.0198,1.0000,0.9868,0.0082,0.9953,0.9924,1.0000,0.9394,0.9688,0.9975,62,0,4,461,0.9871,0.9574,0.9375,0.9474,0.9940,90,4,6,674
C_char_svm_C2,0.9894,0.0028,1.0000,0.9558,0.0117,1.0000,0.9250,0.0191,1.0000,0.9889,0.0098,1.0000,0.9924,1.0000,0.9394,0.9688,0.9969,62,0,4,461,0.9884,0.9677,0.9375,0.9524,0.9931,90,3,6,675
B_word_svm_nocw,0.9863,0.0042,0.9997,0.9419,0.0184,0.9990,0.9000,0.0313,0.9979,0.9886,0.0101,1.0000,0.9848,0.9677,0.9091,0.9375,0.9921,60,2,6,459,0.9871,0.9674,0.9271,0.9468,0.9941,89,3,7,675
D_combined_svm,0.9878,0.0036,1.0000,0.9492,0.0154,1.0000,0.9167,0.0238,1.0000,0.9844,0.0111,1.0000,0.9924,1.0000,0.9394,0.9688,0.9964,62,0,4,461,0.9871,0.9479,0.9479,0.9479,0.9943,91,5,5,673
