model,cv_acc_mean,cv_acc_std,train_acc_mean,cv_f1_mean,cv_f1_std,train_f1_mean,cv_recall_mean,cv_recall_std,train_recall_mean,cv_precision_mean,cv_precision_std,train_precision_mean,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_TP,val_FP,val_FN,val_TN,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_TP,test_FP,test_FN,test_TN
A_word_lr,0.9627,0.0037,0.9833,0.8911,0.0093,0.9502,0.9476,0.0147,0.9876,0.8416,0.0211,0.9155,0.9587,0.8632,0.8817,0.8723,0.9909,82,13,11,475,0.9684,0.8618,0.9562,0.9066,0.9876,131,21,6,697
B_word_svm,0.9779,0.0027,0.9993,0.9315,0.0087,0.9978,0.9315,0.0156,0.9985,0.9315,0.0068,0.9971,0.9725,0.9326,0.8925,0.9121,0.9923,83,6,10,482,0.9871,0.9565,0.9635,0.9600,0.9925,132,6,5,712
C_char_svm,0.9772,0.0019,0.9962,0.9300,0.0053,0.9885,0.9388,0.0117,1.0000,0.9217,0.0162,0.9772,0.9742,0.9432,0.8925,0.9171,0.9948,83,5,10,483,0.9766,0.9034,0.9562,0.9291,0.9900,131,14,6,704
B_word_svm_C2,0.9789,0.0022,0.9998,0.9337,0.0073,0.9993,0.9242,0.0156,0.9985,0.9436,0.0068,1.0000,0.9759,0.9540,0.8925,0.9222,0.9912,83,4,10,484,0.9895,0.9706,0.9635,0.9670,0.9919,132,4,5,714
B_word_svm_tri,0.9779,0.0025,0.9993,0.9317,0.0080,0.9978,0.9344,0.0151,0.9985,0.9291,0.0075,0.9971,0.9707,0.9318,0.8817,0.9061,0.9931,82,6,11,482,0.9848,0.9493,0.9562,0.9527,0.9920,131,7,6,711
B_word_svm_C05,0.9777,0.0031,0.9978,0.9313,0.0097,0.9931,0.9388,0.0133,0.9985,0.9240,0.0084,0.9877,0.9707,0.9222,0.8925,0.9071,0.9935,83,7,10,481,0.9836,0.9362,0.9635,0.9496,0.9925,132,9,5,709
B_word_svm_C03,0.9732,0.0019,0.9959,0.9189,0.0057,0.9874,0.9417,0.0120,0.9985,0.8973,0.0086,0.9765,0.9656,0.8925,0.8925,0.8925,0.9938,83,10,10,478,0.9825,0.9296,0.9635,0.9462,0.9921,132,10,5,708
C_char_svm_C05,0.9756,0.0017,0.9932,0.9257,0.0045,0.9793,0.9432,0.0106,1.0000,0.9091,0.0161,0.9595,0.9725,0.9231,0.9032,0.9130,0.9950,84,7,9,481,0.9731,0.8851,0.9562,0.9193,0.9889,131,17,6,701
C_char_svm_C2,0.9784,0.0020,0.9992,0.9329,0.0062,0.9976,0.9315,0.0141,1.0000,0.9346,0.0151,0.9953,0.9776,0.9762,0.8817,0.9266,0.9946,82,2,11,486,0.9836,0.9424,0.9562,0.9493,0.9901,131,8,6,710
B_word_svm_nocw,0.9803,0.0041,0.9998,0.9370,0.0138,0.9993,0.9126,0.0260,0.9985,0.9632,0.0070,1.0000,0.9742,0.9756,0.8602,0.9143,0.9918,80,2,13,486,0.9860,0.9771,0.9343,0.9552,0.9927,128,3,9,715
D_combined_svm,0.9819,0.0014,0.9998,0.9432,0.0043,0.9995,0.9315,0.0119,1.0000,0.9555,0.0144,0.9989,0.9759,0.9759,0.8710,0.9205,0.9929,81,2,12,486,0.9836,0.9489,0.9489,0.9489,0.9931,130,7,7,711
